"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Meaning of Sales, value of shipments, or revenue size of firms code (RCPSZFI_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with sales/receipts of $50,000 to $99,999","2018","131,152","9,708,638","180,741","3,056,422","2.0","1.9","4.0","3.3"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with sales/receipts of $100,000 to $249,999","2018","270,413","45,218,859","598,313","13,302,636","1.4","1.5","2.1","1.6"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with sales/receipts of $250,000 to $499,999","2018","228,040","81,341,567","937,908","23,543,685","1.4","1.6","2.4","2.4"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with sales/receipts of $500,000 to $999,999","2018","177,830","125,355,422","1,275,699","36,563,280","1.4","1.6","3.5","2.0"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with sales/receipts of $1,000,000 or more","2018","227,609","1,512,438,380","7,039,687","309,008,032","0.9","5.2","2.9","3.2"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with sales/receipts of less than $5,000","2018","21,564","48,853","54,597","2,963,150","5.3","5.9","21.9","23.1"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with sales/receipts of $5,000 to $9,999","2018","23,065","160,645","23,423","811,965","5.5","5.3","5.4","11.7"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with sales/receipts of $10,000 to $24,999","2018","63,064","1,066,215","65,813","1,847,519","2.5","2.5","6.3","12.2"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with sales/receipts of $25,000 to $49,999","2018","118,880","4,448,553","138,411","4,066,499","2.7","2.9","9.3","43.4"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with sales/receipts of $50,000 to $99,999","2018","265,043","19,738,046","330,004","6,979,272","1.4","1.5","4.1","6.2"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with sales/receipts of $100,000 to $249,999","2018","671,472","113,701,570","1,229,600","32,728,026","1.1","1.1","1.6","1.2"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with sales/receipts of $250,000 to $499,999","2018","673,470","243,580,066","2,195,909","66,778,528","0.8","0.9","1.8","1.6"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with sales/receipts of $500,000 to $999,999","2018","612,876","436,933,546","3,489,855","119,910,715","1.2","1.3","1.7","1.9"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with sales/receipts of $1,000,000 or more","2018","1,047,525","10,420,357,993","37,818,795","1,904,416,017","0.7","3.3","1.4","1.4"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with sales/receipts of less than $5,000","2018","5,464","12,066","6,954","275,341","15.0","16.6","27.9","37.5"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with sales/receipts of $5,000 to $9,999","2018","6,475","44,213","6,740","130,822","10.9","11.1","25.6","31.0"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with sales/receipts of $10,000 to $24,999","2018","18,270","310,944","27,507","956,146","5.4","6.3","45.8","78.1"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with sales/receipts of $25,000 to $49,999","2018","31,481","1,167,389","34,073","469,258","3.9","4.5","5.1","5.5"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with sales/receipts of $50,000 to $99,999","2018","73,074","5,421,062","103,731","1,697,672","2.0","2.2","3.5","7.3"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with sales/receipts of $100,000 to $249,999","2018","177,559","30,202,236","382,714","8,057,684","2.2","2.3","2.8","2.4"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with sales/receipts of $250,000 to $499,999","2018","176,611","63,546,718","737,493","16,856,281","2.0","2.1","4.3","3.5"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with sales/receipts of $500,000 to $999,999","2018","155,570","110,452,069","1,046,152","28,507,515","2.3","2.1","4.1","2.3"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with sales/receipts of $1,000,000 or more","2018","216,250","1,129,451,780","5,624,758","222,902,289","1.6","5.4","2.8","2.7"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with sales/receipts of less than $5,000","2018","1,780","4,096","2,641","87,009","21.4","20.4","60.3","37.3"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with sales/receipts of $5,000 to $9,999","2018","2,478","17,202","2,366","58,734","18.3","17.7","28.4","75.5"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with sales/receipts of $10,000 to $24,999","2018","6,253","108,086","7,186","147,612","8.9","8.7","19.5","26.0"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with sales/receipts of $25,000 to $49,999","2018","12,313","468,857","14,479","241,964","6.2","6.5","9.1","9.1"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with sales/receipts of $50,000 to $99,999","2018","30,899","2,304,585","42,407","833,571","4.2","4.3","9.8","34.0"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with sales/receipts of $100,000 to $249,999","2018","73,755","12,371,357","150,398","3,236,400","2.4","2.5","5.1","4.8"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with sales/receipts of $250,000 to $499,999","2018","70,832","25,490,876","254,993","6,293,294","3.3","3.3","4.7","3.5"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with sales/receipts of $500,000 to $999,999","2018","57,791","40,965,629","361,144","10,574,407","4.7","4.8","7.3","6.2"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with sales/receipts of $1,000,000 or more","2018","75,524","373,913,995","2,136,526","79,630,306","3.2","6.7","4.9","4.7"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with sales/receipts of less than $5,000","2018","497","1,274","379","24,787","31.7","37.1","41.4","48.6"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with sales/receipts of $5,000 to $9,999","2018","786","5,387","640","8,218","19.6","20.4","25.5","59.3"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with sales/receipts of $10,000 to $24,999","2018","1,934","33,919","2,396","28,020","16.4","16.5","24.6","21.1"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with sales/receipts of $25,000 to $49,999","2018","4,049","154,754","4,715","53,522","7.4","8.1","11.2","4.2"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with sales/receipts of $50,000 to $99,999","2018","10,579","784,196","16,299","228,473","6.4","6.8","15.0","10.1"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with sales/receipts of $100,000 to $249,999","2018","20,314","3,338,241","47,886","869,388","4.7","4.8","11.8","6.1"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with sales/receipts of $250,000 to $499,999","2018","17,819","6,391,183","73,861","1,732,935","7.0","7.2","6.6","6.6"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with sales/receipts of $500,000 to $999,999","2018","12,392","8,721,910","81,140","2,266,451","7.7","8.2","6.5","8.6"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with sales/receipts of $1,000,000 or more","2018","16,129","71,672,860","495,337","16,763,882","6.4","11.0","10.9","8.9"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with sales/receipts of less than $5,000","2018","1,112","2,497","2,068","49,634","21.6","19.1","73.9","53.3"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with sales/receipts of $5,000 to $9,999","2018","1,581","10,971","1,712","49,764","25.2","24.7","41.3","88.2"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with sales/receipts of $10,000 to $24,999","2018","3,624","62,625","4,138","94,895","8.4","8.0","20.7","12.0"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with sales/receipts of $25,000 to $49,999","2018","6,674","253,369","8,107","163,331","9.9","10.0","14.0","14.9"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with sales/receipts of $50,000 to $99,999","2018","17,609","1,321,509","22,574","550,924","7.0","7.0","16.3","53.4"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with sales/receipts of $100,000 to $249,999","2018","44,924","7,595,504","85,296","1,999,452","2.7","2.7","7.1","7.4"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with sales/receipts of $250,000 to $499,999","2018","45,094","16,242,122","152,768","3,920,516","4.2","4.3","5.9","5.6"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with sales/receipts of $500,000 to $999,999","2018","38,429","27,239,261","232,774","7,099,018","7.6","7.8","10.9","9.0"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with sales/receipts of $1,000,000 or more","2018","50,378","273,045,206","1,448,352","56,615,903","4.0","8.9","6.2","6.7"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with sales/receipts of less than $5,000","2018","171","325","194","12,589","47.0","45.8","101.3","138.3"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with sales/receipts of $5,000 to $9,999","2018","S","S","0 to 19 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with sales/receipts of $10,000 to $24,999","2018","697","11,543","652","24,697","34.2","34.3","88.5","134.4"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with sales/receipts of $25,000 to $49,999","2018","1,588","60,734","1,657","25,111","20.2","22.3","31.0","53.6"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with sales/receipts of $50,000 to $99,999","2018","2,709","198,880","3,534","54,175","9.8","9.7","12.7","11.6"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with sales/receipts of $100,000 to $249,999","2018","8,515","1,437,611","17,217","367,560","10.1","10.3","12.4","12.3"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with sales/receipts of $250,000 to $499,999","2018","7,921","2,857,571","28,363","639,844","8.4","9.9","12.7","10.9"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with sales/receipts of $500,000 to $999,999","2018","6,970","5,004,457","47,229","1,208,939","9.7","9.9","17.9","12.5"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with sales/receipts of $1,000,000 or more","2018","9,017","29,195,929","192,838","6,250,520","10.0","11.2","9.1","10.2"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of less than $5,000","2018","147","373","58","12,030","45.1","48.6","19.6","1.1"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $5,000 to $9,999","2018","226","1,557","90","720","32.5","32.2","66.4","26.2"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $10,000 to $24,999","2018","639","11,122","386","12,529","23.0","25.8","69.2","62.8"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $25,000 to $49,999","2018","1,785","65,953","1,941","23,716","17.2","17.1","35.6","22.4"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $50,000 to $99,999","2018","3,955","297,596","4,937","90,248","15.5","16.4","15.5","16.1"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $100,000 to $249,999","2018","10,331","1,749,562","20,980","442,830","8.0","8.1","12.8","6.8"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $250,000 to $499,999","2018","10,967","3,934,420","43,460","1,050,213","7.0","6.8","8.1","9.7"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $500,000 to $999,999","2018","8,883","6,324,807","58,254","1,732,638","9.2","9.9","7.7","8.1"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $1,000,000 or more","2018","12,351","58,949,233","356,530","14,030,693","7.2","19.0","13.9","18.9"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of less than $5,000","2018","7","13","4","213","22.9","0.0","40.1","0.8"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $5,000 to $9,999","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $10,000 to $24,999","2018","S","S","0 to 19 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $25,000 to $49,999","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $50,000 to $99,999","2018","236","15,390","469","4,900","37.5","37.9","86.7","44.9"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $100,000 to $249,999","2018","329","57,723","777","15,886","36.0","36.8","64.1","44.0"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $250,000 to $499,999","2018","566","202,441","2,856","68,898","48.5","49.5","49.9","53.0"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $500,000 to $999,999","2018","526","347,285","4,458","119,967","34.1","36.2","55.1","53.7"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $1,000,000 or more","2018","432","1,026,644","10,096","236,269","44.1","48.1","97.2","57.5"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of less than $5,000","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $5,000 to $9,999","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $10,000 to $24,999","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $25,000 to $49,999","2018","363","13,985","413","5,709","41.4","38.4","49.2","55.9"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $50,000 to $99,999","2018","378","28,703","307","10,382","41.7","42.3","51.3","54.9"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $100,000 to $249,999","2018","1,943","337,651","3,895","92,116","20.9","20.4","32.7","25.5"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $250,000 to $499,999","2018","2,186","807,519","8,130","215,939","5.9","4.5","14.3","15.6"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $500,000 to $999,999","2018","1,720","1,229,988","10,794","375,216","17.4","17.3","21.5","21.0"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $1,000,000 or more","2018","3,435","27,941,404","123,285","6,646,657","18.3","38.2","30.8","41.4"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of less than $5,000","2018","S","S","0 to 19 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $5,000 to $9,999","2018","164","1,136","57","552","43.3","42.8","83.3","34.6"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $10,000 to $24,999","2018","474","8,244","330","10,919","28.5","31.4","68.7","72.5"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $25,000 to $49,999","2018","1,344","48,849","1,459","17,058","18.9","19.6","42.3","22.5"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $50,000 to $99,999","2018","3,341","253,503","4,161","74,966","17.2","17.6","17.0","18.5"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $100,000 to $249,999","2018","8,057","1,354,187","16,309","334,828","8.2","8.4","14.4","9.1"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $250,000 to $499,999","2018","8,216","2,924,461","32,474","765,376","8.2","7.6","8.1","8.4"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $500,000 to $999,999","2018","6,638","4,747,534","43,003","1,237,454","9.0","9.0","8.6","7.2"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with sales/receipts of $1,000,000 or more","2018","8,482","29,981,185","223,148","7,147,768","7.3","19.1","13.4","13.0"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with sales/receipts of less than $5,000","2018","33,443","76,566","75,970","3,916,630","3.8","4.8","15.2","16.5"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with sales/receipts of $5,000 to $9,999","2018","36,489","253,135","36,605","1,212,612","5.5","5.4","6.5","9.2"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with sales/receipts of $10,000 to $24,999","2018","104,810","1,781,022","115,488","3,238,257","2.4","2.7","11.6","21.3"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with sales/receipts of $25,000 to $49,999","2018","194,263","7,243,392","217,216","5,180,053","1.7","1.9","6.2","33.9"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with sales/receipts of $50,000 to $99,999","2018","434,413","32,265,566","567,133","10,809,547","1.2","1.2","2.8","3.0"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with sales/receipts of $100,000 to $249,999","2018","1,035,360","175,001,746","2,039,248","50,409,116","0.9","0.9","0.9","1.0"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with sales/receipts of $250,000 to $499,999","2018","996,324","359,043,055","3,572,857","99,834,987","0.8","0.9","1.8","1.4"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with sales/receipts of $500,000 to $999,999","2018","879,603","625,450,602","5,392,308","172,674,465","0.7","0.7","0.7","1.0"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with sales/receipts of $1,000,000 or more","2018","1,403,511","12,629,384,926","47,990,183","2,342,665,339","0.4","3.0","1.0","1.1"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with sales/receipts of less than $5,000","2018","7,842","18,830","16,736","752,178","6.5","7.5","33.8","47.9"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with sales/receipts of $5,000 to $9,999","2018","8,868","61,643","8,258","321,060","10.0","9.6","19.2","7.2"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with sales/receipts of $10,000 to $24,999","2018","28,389","488,528","27,341","566,572","5.0","5.0","10.6","25.7"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with sales/receipts of $25,000 to $49,999","2018","53,874","2,004,388","56,367","855,506","3.5","3.2","7.3","7.6"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with sales/receipts of $50,000 to $99,999","2018","120,337","8,909,052","163,973","2,823,050","1.9","1.8","3.8","3.3"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with sales/receipts of $100,000 to $249,999","2018","249,768","41,822,895","549,650","12,417,363","1.5","1.6","2.4","1.7"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with sales/receipts of $250,000 to $499,999","2018","209,658","74,747,943","861,191","21,741,853","1.6","1.8","2.5","2.9"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with sales/receipts of $500,000 to $999,999","2018","164,912","116,286,227","1,190,101","34,176,862","1.8","1.9","4.0","2.4"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with sales/receipts of $1,000,000 or more","2018","211,048","1,439,738,876","6,534,254","292,007,882","1.0","5.3","2.7","3.1"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with sales/receipts of less than $5,000","2018","20,429","46,306","52,493","2,911,331","5.2","6.1","23.1","23.7"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with sales/receipts of $5,000 to $9,999","2018","21,422","149,258","21,677","762,035","5.4","5.1","5.2","13.0"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with sales/receipts of $10,000 to $24,999","2018","59,322","1,001,336","61,622","1,751,155","2.7","2.8","6.5","13.1"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with sales/receipts of $25,000 to $49,999","2018","111,842","4,181,200","129,891","3,897,458","2.9","3.2","10.4","45.5"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with sales/receipts of $50,000 to $99,999","2018","247,054","18,387,833","307,123","6,417,967","1.5","1.6","3.7","4.0"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with sales/receipts of $100,000 to $249,999","2018","624,606","105,768,414","1,140,409","30,636,458","1.3","1.3","1.4","1.4"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with sales/receipts of $250,000 to $499,999","2018","626,191","226,530,426","2,035,010","62,642,073","0.8","0.9","1.8","1.6"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with sales/receipts of $500,000 to $999,999","2018","572,729","408,464,296","3,246,286","112,436,481","1.0","1.1","1.5","1.7"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with sales/receipts of $1,000,000 or more","2018","993,711","10,119,371,383","36,247,157","1,841,153,457","0.6","3.4","1.3","1.5"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with sales/receipts of less than $5,000","2018","5,174","11,430","6,741","253,121","16.8","18.5","28.8","40.9"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with sales/receipts of $5,000 to $9,999","2018","6,200","42,233","6,670","129,517","10.9","11.0","25.9","31.1"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with sales/receipts of $10,000 to $24,999","2018","17,101","291,158","26,525","920,530","5.2","5.9","46.2","78.2"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with sales/receipts of $25,000 to $49,999","2018","28,547","1,057,805","30,958","427,089","3.3","3.8","6.7","5.0"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with sales/receipts of $50,000 to $99,999","2018","67,022","4,968,680","96,037","1,568,530","2.0","2.3","3.7","8.0"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with sales/receipts of $100,000 to $249,999","2018","160,986","27,410,437","349,188","7,355,295","2.0","2.2","3.0","2.3"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with sales/receipts of $250,000 to $499,999","2018","160,475","57,764,686","676,656","15,451,062","2.2","2.4","4.8","3.5"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with sales/receipts of $500,000 to $999,999","2018","141,962","100,700,079","955,920","26,061,122","2.4","2.3","4.5","2.6"
