"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Meaning of Years in business code (YIBSZFI_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 16 or more years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with less than 2 years in business","2018","1,961","861,080","4,261","170,894","13.7","27.3","21.6","21.9"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","1,586","2,047,361","13,567","470,784","16.3","21.6","23.0","25.2"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with 4 to 5 years in business","2018","1,315","2,063,604","10,201","470,284","21.4","47.9","44.3","54.6"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","2,003","3,354,799","18,290","842,298","19.7","46.6","24.8","33.9"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","1,109","1,961,398","13,834","591,684","26.6","31.8","30.2","32.7"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with 16 or more years in business","2018","S","S","50,000 to 99,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with less than 2 years in business","2018","6,735","3,575,117","31,789","864,106","6.2","15.0","22.1","14.7"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","5,661","3,756,202","34,106","885,128","7.6","18.2","20.9","20.9"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 4 to 5 years in business","2018","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","6,723","6,283,369","51,269","1,498,949","8.4","14.4","18.2","13.0"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","5,758","7,038,709","56,836","1,536,775","10.8","32.4","18.9","19.8"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 16 or more years in business","2018","8,124","13,326,288","104,267","3,726,459","8.5","13.9","11.3","13.8"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with less than 2 years in business","2018","755,042","578,101,037","3,177,989","128,090,380","0.8","2.2","2.2","2.0"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","639,817","646,147,600","4,418,672","145,184,658","1.2","4.2","4.2","2.3"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with 4 to 5 years in business","2018","484,416","606,135,829","3,883,713","146,474,552","0.9","4.8","3.1","5.3"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","844,373","1,364,832,339","7,885,812","325,499,117","0.7","6.8","1.2","6.4"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","733,822","1,426,367,110","7,286,418","337,908,822","0.8","5.2","2.8","4.7"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with 16 or more years in business","2018","1,660,746","9,208,916,093","33,354,403","1,606,783,477","0.5","4.0","1.3","1.4"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with less than 2 years in business","2018","171,366","100,967,389","683,880","25,116,175","0.9","3.6","3.7","3.8"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","153,090","100,872,078","855,399","26,455,189","2.6","6.7","6.9","9.4"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with 4 to 5 years in business","2018","112,821","80,614,884","719,423","22,279,885","1.9","5.4","5.3","6.2"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","189,488","197,824,588","1,519,393","52,467,126","1.5","5.3","4.6","4.7"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","151,336","182,196,748","1,348,983","51,181,942","2.5","8.9","7.2","10.7"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with 16 or more years in business","2018","276,592","1,021,602,694","4,280,792","188,162,008","1.5","6.9","2.9","2.7"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with less than 2 years in business","2018","465,468","391,882,456","1,992,321","84,748,701","1.0","2.6","3.7","3.0"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","394,137","465,619,464","2,924,572","100,886,403","1.2","5.8","5.6","1.9"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with 4 to 5 years in business","2018","302,075","455,642,159","2,660,239","109,186,993","1.5","7.4","5.4","7.1"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","527,017","1,031,088,366","5,314,761","241,008,076","1.2","9.3","1.0","9.0"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","460,839","1,072,408,493","4,900,723","248,549,958","1.3","6.4","3.3","5.5"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with 16 or more years in business","2018","1,127,768","7,467,259,513","25,449,056","1,278,228,284","0.8","4.1","1.4","1.3"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with less than 2 years in business","2018","118,208","85,251,192","501,788","18,225,503","1.7","5.7","7.6","8.2"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","92,590","79,656,058","638,701","17,843,066","3.4","11.1","6.2","9.2"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with 4 to 5 years in business","2018","69,521","69,878,786","504,051","15,007,674","1.8","15.4","7.6","10.1"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","127,870","135,919,384","1,051,658","32,023,915","3.0","5.3","3.6","4.4"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","121,647","171,761,869","1,036,713","38,176,922","2.8","8.5","4.8","6.8"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with 16 or more years in business","2018","256,384","720,053,885","3,624,555","140,393,185","1.8","8.6","4.5","5.4"
"United States","00","Total for all sectors","Total","Total","White","Total","Firms with less than 2 years in business","2018","694,760","527,871,319","2,847,936","117,682,975","0.6","2.2","3.0","2.2"
"United States","00","Total for all sectors","Total","Total","White","Total","Firms with 2 to 3 years in business","2018","583,032","605,615,812","3,930,918","135,022,009","1.2","5.1","4.2","2.3"
"United States","00","Total for all sectors","Total","Total","White","Total","Firms with 4 to 5 years in business","2018","437,414","565,922,586","3,619,823","137,723,512","0.9","5.6","5.0","6.9"
"United States","00","Total for all sectors","Total","Total","White","Total","Firms with 6 to 10 years in business","2018","774,593","1,271,513,975","7,291,013","304,945,323","0.8","7.6","1.0","7.3"
"United States","00","Total for all sectors","Total","Total","White","Total","Firms with 11 to 15 years in business","2018","684,558","1,347,825,754","6,817,354","318,089,308","0.7","5.4","2.9","5.0"
"United States","00","Total for all sectors","Total","Total","White","Total","Firms with 16 or more years in business","2018","1,595,526","8,984,413,101","32,370,387","1,566,640,992","0.6","3.8","1.4","1.2"
"United States","00","Total for all sectors","Female","Total","White","Total","Firms with less than 2 years in business","2018","151,460","88,602,904","582,828","21,794,780","1.2","3.6","4.7","3.4"
"United States","00","Total for all sectors","Female","Total","White","Total","Firms with 2 to 3 years in business","2018","134,700","90,368,955","742,767","23,883,299","2.8","7.9","5.4","9.6"
"United States","00","Total for all sectors","Female","Total","White","Total","Firms with 4 to 5 years in business","2018","96,917","71,467,834","616,770","19,245,171","2.0","6.1","6.6","5.9"
"United States","00","Total for all sectors","Female","Total","White","Total","Firms with 6 to 10 years in business","2018","166,790","171,672,659","1,332,115","45,312,411","1.7","7.8","4.3","6.7"
"United States","00","Total for all sectors","Female","Total","White","Total","Firms with 11 to 15 years in business","2018","135,141","166,742,405","1,220,514","46,120,499","3.2","8.8","8.5","11.6"
"United States","00","Total for all sectors","Female","Total","White","Total","Firms with 16 or more years in business","2018","260,505","986,720,783","4,136,463","181,867,665","1.6","6.5","3.2","2.7"
"United States","00","Total for all sectors","Male","Total","White","Total","Firms with less than 2 years in business","2018","431,915","362,922,526","1,806,428","79,065,988","0.9","2.8","4.9","3.5"
"United States","00","Total for all sectors","Male","Total","White","Total","Firms with 2 to 3 years in business","2018","362,445","440,009,981","2,609,060","94,527,424","1.4","7.2","6.0","1.7"
"United States","00","Total for all sectors","Male","Total","White","Total","Firms with 4 to 5 years in business","2018","276,989","426,287,694","2,523,750","103,966,512","1.3","8.0","7.4","8.6"
"United States","00","Total for all sectors","Male","Total","White","Total","Firms with 6 to 10 years in business","2018","491,319","974,973,579","5,000,574","229,817,777","1.4","10.1","1.8","9.9"
"United States","00","Total for all sectors","Male","Total","White","Total","Firms with 11 to 15 years in business","2018","434,917","1,019,010,519","4,651,105","236,399,134","1.2","6.7","3.4","5.9"
"United States","00","Total for all sectors","Male","Total","White","Total","Firms with 16 or more years in business","2018","1,089,464","7,307,737,503","24,772,369","1,250,944,157","0.8","3.9","1.4","1.1"
"United States","00","Total for all sectors","Equally male/female","Total","White","Total","Firms with less than 2 years in business","2018","111,385","76,345,889","458,680","16,822,207","1.9","6.4","8.2","8.5"
"United States","00","Total for all sectors","Equally male/female","Total","White","Total","Firms with 2 to 3 years in business","2018","85,887","75,236,875","579,091","16,611,286","2.2","12.5","6.3","10.1"
"United States","00","Total for all sectors","Equally male/female","Total","White","Total","Firms with 4 to 5 years in business","2018","63,508","68,167,059","479,303","14,511,829","2.8","16.7","9.3","10.1"
"United States","00","Total for all sectors","Equally male/female","Total","White","Total","Firms with 6 to 10 years in business","2018","116,486","124,867,737","958,324","29,815,135","3.0","5.3","4.3","4.7"
"United States","00","Total for all sectors","Equally male/female","Total","White","Total","Firms with 11 to 15 years in business","2018","114,501","162,072,831","945,735","35,569,675","3.0","8.9","4.3","7.0"
"United States","00","Total for all sectors","Equally male/female","Total","White","Total","Firms with 16 or more years in business","2018","245,558","689,954,815","3,461,554","133,829,171","2.0","8.6","4.5","5.1"
"United States","00","Total for all sectors","Total","Hispanic","White","Total","Firms with less than 2 years in business","2018","53,224","28,298,674","206,975","6,488,684","2.2","5.6","7.6","9.1"
"United States","00","Total for all sectors","Total","Hispanic","White","Total","Firms with 2 to 3 years in business","2018","53,294","50,891,746","343,254","9,823,302","4.0","17.4","8.6","8.0"
"United States","00","Total for all sectors","Total","Hispanic","White","Total","Firms with 4 to 5 years in business","2018","38,990","43,507,562","335,257","9,751,258","3.6","17.5","21.5","20.0"
"United States","00","Total for all sectors","Total","Hispanic","White","Total","Firms with 6 to 10 years in business","2018","65,684","78,764,433","574,375","18,568,728","2.5","11.7","6.3","8.2"
"United States","00","Total for all sectors","Total","Hispanic","White","Total","Firms with 11 to 15 years in business","2018","45,284","60,071,774","414,458","14,394,593","3.7","10.3","7.3","9.2"
"United States","00","Total for all sectors","Total","Hispanic","White","Total","Firms with 16 or more years in business","2018","61,345","179,773,565","1,016,509","39,206,380","2.0","5.3","9.4","5.9"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","White","Total","Firms with less than 2 years in business","2018","8,115","4,176,278","35,067","970,501","6.1","11.8","21.0","12.3"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","White","Total","Firms with 2 to 3 years in business","2018","6,793","5,543,514","44,609","1,239,839","10.1","15.6","16.6","16.2"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","White","Total","Firms with 4 to 5 years in business","2018","S","S","50,000 to 99,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","White","Total","Firms with 6 to 10 years in business","2018","8,160","9,090,192","70,357","2,218,744","9.6","22.6","27.4","22.6"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","White","Total","Firms with 11 to 15 years in business","2018","6,384","8,637,961","66,863","2,036,521","11.1","33.1","21.3","23.7"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","White","Total","Firms with 16 or more years in business","2018","9,788","32,011,853","183,026","8,110,998","7.7","31.2","19.2","31.8"
"United States","00","Total for all sectors","Total","Non-Hispanic","White","Total","Firms with less than 2 years in business","2018","633,418","495,396,367","2,605,893","110,223,789","0.8","2.3","2.9","2.0"
"United States","00","Total for all sectors","Total","Non-Hispanic","White","Total","Firms with 2 to 3 years in business","2018","522,945","549,180,551","3,543,055","123,958,869","1.4","4.8","4.7","2.2"
"United States","00","Total for all sectors","Total","Non-Hispanic","White","Total","Firms with 4 to 5 years in business","2018","393,399","514,898,112","3,231,741","126,386,095","0.9","5.4","3.5","6.3"
"United States","00","Total for all sectors","Total","Non-Hispanic","White","Total","Firms with 6 to 10 years in business","2018","700,748","1,183,659,351","6,646,281","284,157,851","0.9","8.2","1.2","7.8"
"United States","00","Total for all sectors","Total","Non-Hispanic","White","Total","Firms with 11 to 15 years in business","2018","632,890","1,279,116,019","6,336,033","301,658,195","0.7","5.4","2.9","5.1"
"United States","00","Total for all sectors","Total","Non-Hispanic","White","Total","Firms with 16 or more years in business","2018","1,524,392","8,772,627,683","31,170,852","1,519,323,615","0.6","3.9","1.4","1.3"
"United States","00","Total for all sectors","Total","Total","Black or African American","Total","Firms with less than 2 years in business","2018","20,664","9,200,037","79,101","2,468,087","4.9","9.0","15.5","8.0"
"United States","00","Total for all sectors","Total","Total","Black or African American","Total","Firms with 2 to 3 years in business","2018","21,138","11,329,329","134,230","3,409,440","7.3","9.2","10.3","9.1"
"United States","00","Total for all sectors","Total","Total","Black or African American","Total","Firms with 4 to 5 years in business","2018","15,777","12,350,108","130,829","3,952,213","6.6","7.9","12.5","13.6"
"United States","00","Total for all sectors","Total","Total","Black or African American","Total","Firms with 6 to 10 years in business","2018","24,674","26,041,756","239,436","7,576,631","3.7","19.0","13.7","13.4"
"United States","00","Total for all sectors","Total","Total","Black or African American","Total","Firms with 11 to 15 years in business","2018","16,827","20,679,530","202,558","6,557,233","9.3","16.6","16.0","18.3"
"United States","00","Total for all sectors","Total","Total","Black or African American","Total","Firms with 16 or more years in business","2018","25,471","48,411,639","402,663","12,975,625","3.5","8.1","10.1","7.9"
"United States","00","Total for all sectors","Female","Total","Black or African American","Total","Firms with less than 2 years in business","2018","7,328","2,844,739","35,905","922,239","6.9","16.2","28.2","20.2"
"United States","00","Total for all sectors","Female","Total","Black or African American","Total","Firms with 2 to 3 years in business","2018","7,216","3,407,998","46,739","1,251,765","10.5","17.9","18.2","25.6"
"United States","00","Total for all sectors","Female","Total","Black or African American","Total","Firms with 4 to 5 years in business","2018","6,279","4,518,867","56,266","1,788,056","9.6","21.1","28.8","26.8"
"United States","00","Total for all sectors","Female","Total","Black or African American","Total","Firms with 6 to 10 years in business","2018","8,863","6,319,926","79,282","2,254,484","9.2","14.6","14.5","17.3"
"United States","00","Total for all sectors","Female","Total","Black or African American","Total","Firms with 11 to 15 years in business","2018","5,995","4,321,583","59,284","1,513,253","13.6","17.7","21.6","15.8"
"United States","00","Total for all sectors","Female","Total","Black or African American","Total","Firms with 16 or more years in business","2018","7,484","9,027,419","122,126","3,295,071","7.4","8.1","19.9","9.3"
"United States","00","Total for all sectors","Male","Total","Black or African American","Total","Firms with less than 2 years in business","2018","11,652","5,755,301","37,070","1,369,682","6.6","14.2","16.5","12.0"
"United States","00","Total for all sectors","Male","Total","Black or African American","Total","Firms with 2 to 3 years in business","2018","12,166","7,015,063","76,438","1,892,701","8.2","14.8","18.1","14.1"
"United States","00","Total for all sectors","Male","Total","Black or African American","Total","Firms with 4 to 5 years in business","2018","7,867","6,793,265","60,263","1,782,655","9.7","13.0","19.5","14.2"
