"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Meaning of Employment size of firms code (EMPSZFI_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with 10 to 19 employees","2018","372,423","952,098,093","5,009,627","222,341,924","0.8","2.2","0.8","1.4"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with 20 to 49 employees","2018","247,080","1,638,134,473","7,489,286","346,031,182","1.8","4.5","2.0","1.9"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with 50 to 99 employees","2018","75,740","1,448,192,337","5,172,858","253,921,449","3.3","9.0","3.1","3.8"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with 100 to 249 employees","2018","40,132","1,897,587,402","5,900,432","305,464,807","5.5","9.5","5.5","6.6"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with 250 to 499 employees","2018","10,194","1,051,638,936","3,576,850","181,195,261","7.4","9.8","7.5","9.6"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with 500 employees or more","2018","6,583","2,508,113,615","10,952,572","486,697,842","3.4","3.3","2.2","5.2"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with no employees","2018","111,623","42,845,589","0","6,452,843","2.6","3.2","0.0","2.6"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with 1 to 4 employees","2018","420,105","180,346,207","867,877","29,935,088","1.0","2.3","1.2","1.9"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with 5 to 9 employees","2018","152,032","154,564,193","1,005,379","33,970,465","2.6","3.6","2.7","3.6"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with 10 to 19 employees","2018","96,991","186,151,937","1,307,637","42,917,550","3.7","7.0","3.7","3.6"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with 20 to 49 employees","2018","59,370","272,466,575","1,759,347","59,505,590","3.1","8.3","3.4","5.0"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with 50 to 99 employees","2018","13,368","167,029,204","911,078","32,365,658","7.0","22.3","7.6","13.8"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with 100 to 249 employees","2018","5,413","162,023,125","811,486","31,213,303","9.9","18.9","9.6","11.0"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with 250 to 499 employees","2018","1,165","62,605,514","432,383","14,155,387","20.0","27.7","19.7","22.0"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with 500 employees or more","2018","689","112,576,132","874,934","29,337,123","12.9","9.4","7.2","11.8"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with no employees","2018","40,437","16,751,326","0","2,044,248","3.0","20.1","0.0","5.4"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with 1 to 4 employees","2018","176,528","71,341,852","353,063","12,092,706","2.1","3.3","2.7","3.9"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with 5 to 9 employees","2018","53,201","51,991,874","351,954","11,632,477","2.9","5.2","2.6","4.4"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with 10 to 19 employees","2018","33,756","63,130,978","454,210","15,025,575","3.6","13.4","3.7","5.9"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with 20 to 49 employees","2018","19,172","80,246,204","571,044","19,421,394","4.5","5.1","4.5","3.8"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with 50 to 99 employees","2018","5,377","57,571,503","363,176","12,549,293","12.1","21.2","12.2","14.5"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with 100 to 249 employees","2018","2,423","59,736,772","335,939","11,825,351","19.1","20.1","18.9","19.5"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with 250 to 499 employees","2018","420","16,867,583","155,052","5,059,298","24.7","25.2","26.4","39.4"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with 500 employees or more","2018","309","38,006,591","387,703","11,452,957","20.1","5.1","19.7","6.5"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with no employees","2018","10,036","3,233,978","0","499,996","4.7","19.2","0.0","13.5"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with 1 to 4 employees","2018","47,105","15,792,524","92,631","2,808,773","4.7","8.2","4.8","7.4"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with 5 to 9 employees","2018","12,523","10,688,294","83,449","2,601,817","5.9","4.3","5.6","6.3"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with 10 to 19 employees","2018","8,516","14,105,603","116,479","3,506,384","6.0","16.2","6.7","10.7"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with 20 to 49 employees","2018","4,205","16,456,658","128,274","4,273,929","10.1","21.6","9.9","11.9"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with 50 to 99 employees","2018","1,233","10,476,572","82,901","2,470,157","27.9","37.2","27.7","26.2"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with 100 to 249 employees","2018","676","8,086,935","94,252","2,285,518","47.9","42.3","47.1","46.6"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with 250 to 499 employees","2018","144","4,170,047","53,573","1,546,183","50.0","47.5","53.3","49.3"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with 500 employees or more","2018","60","8,093,114","71,094","1,982,917","2.7","0.7","0.6","0.2"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with no employees","2018","25,936","11,979,483","0","1,361,786","5.6","25.6","0.0","5.6"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with 1 to 4 employees","2018","110,145","47,365,819","221,420","8,090,345","1.7","4.3","2.6","5.3"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with 5 to 9 employees","2018","34,623","34,827,981","228,162","7,795,923","3.5","6.1","3.7","6.5"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with 10 to 19 employees","2018","20,624","42,165,628","275,507","9,723,818","5.9","18.3","6.0","9.0"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with 20 to 49 employees","2018","12,406","55,366,928","365,908","12,762,325","6.6","7.6","6.1","4.7"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with 50 to 99 employees","2018","3,586","42,634,220","243,577","9,073,328","14.7","21.2","14.7","17.5"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with 100 to 249 employees","2018","1,609","50,000,353","225,570","9,140,563","23.1","23.7","22.8","21.9"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with 250 to 499 employees","2018","266","12,454,937","98,763","3,432,913","29.6","31.7","30.6","52.6"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with 500 employees or more","2018","231","28,977,714","298,883","9,162,435","26.9","6.7","25.6","8.2"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with no employees","2018","4,465","1,537,865","0","182,466","11.8","26.3","0.0","9.6"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with 1 to 4 employees","2018","19,280","8,183,508","39,012","1,193,588","4.4","10.0","5.6","6.6"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with 5 to 9 employees","2018","6,055","6,475,600","40,343","1,234,738","12.8","20.0","12.1","17.3"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with 10 to 19 employees","2018","4,615","6,859,747","62,224","1,795,373","7.5","9.8","7.0","8.4"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with 20 to 49 employees","2018","2,561","8,422,617","76,861","2,385,139","15.6","17.3","17.8","16.7"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with 50 to 99 employees","2018","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with 100 to 249 employees","2018","140","1,649,484","16,117","399,270","73.5","46.4","70.0","58.0"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with 250 to 499 employees","2018","7","242,599","2,716","80,201","42.0","1.0","22.3","0.5"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with 500 employees or more","2018","16","935,764","17,726","307,606","10.0","1.4","2.6","2.0"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with no employees","2018","6,052","1,918,626","0","320,143","5.7","7.3","0.0","11.4"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with 1 to 4 employees","2018","24,407","9,999,659","50,380","1,834,662","4.0","7.7","3.4","6.1"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with 5 to 9 employees","2018","8,344","8,140,922","55,691","2,007,593","9.2","13.3","9.7","15.2"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with 10 to 19 employees","2018","5,541","10,154,280","74,986","2,541,937","9.8","13.3","10.1","10.6"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with 20 to 49 employees","2018","3,642","13,501,907","109,196","3,853,473","11.1","15.7","10.5","16.5"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with 50 to 99 employees","2018","734","5,242,216","47,729","1,614,379","37.3","41.2","37.5","41.2"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with 100 to 249 employees","2018","S","S","50,000 to 99,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with 250 to 499 employees","2018","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with 500 employees or more","2018","33","3,435,283","42,213","1,048,654","4.9","1.4","1.5","1.0"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with no employees","2018","202","46,764","0","9,930","30.9","28.3","0.0","12.4"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 1 to 4 employees","2018","1,068","398,403","2,432","72,687","26.0","25.9","22.9","25.6"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 5 to 9 employees","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 10 to 19 employees","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 20 to 49 employees","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 50 to 99 employees","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 100 to 249 employees","2018","D","D","5,000 to 9,999 employees","D","D","D","D","D"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with no employees","2018","936","402,017","0","62,356","15.5","17.6","0.0","6.8"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with 1 to 4 employees","2018","4,919","2,283,934","10,556","492,904","10.3","16.0","10.3","15.4"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with 5 to 9 employees","2018","1,767","2,162,821","11,637","477,046","13.8","22.3","14.0","17.8"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with 10 to 19 employees","2018","1,229","3,204,143","17,183","726,495","18.0","27.4","17.6","22.4"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with 20 to 49 employees","2018","1,107","6,723,737","34,796","1,883,349","29.5","33.9","30.5","37.5"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with 50 to 99 employees","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with 100 to 249 employees","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with 250 to 499 employees","2018","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Male","Equally Hispanic/non-Hispanic","Total","Total","Firms with 500 employees or more","2018","11","1,584,461","15,157","354,142","14.6","1.9","0.4","1.3"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with no employees","2018","4,914","1,469,845","0","247,857","7.5","9.1","0.0","13.4"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 1 to 4 employees","2018","18,420","7,317,322","37,392","1,269,070","4.9","8.7","5.9","6.2"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 5 to 9 employees","2018","6,114","5,670,951","40,985","1,445,839","12.8","17.8","13.2","22.2"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 10 to 19 employees","2018","3,929","6,320,636","52,713","1,664,229","10.8","12.0","12.1","14.5"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 20 to 49 employees","2018","2,465","6,618,542","72,786","1,924,352","13.5","24.9","12.5","18.5"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 50 to 99 employees","2018","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 100 to 249 employees","2018","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 250 to 499 employees","2018","4","63,071","1,395","21,578","40.1","1.7","1.0","1.4"
"United States","00","Total for all sectors","Equally male/female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 500 employees or more","2018","23","1,850,822","27,056","694,513","7.0","1.0","2.1","0.8"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with no employees","2018","656,569","284,091,140","0","45,270,893","0.9","2.9","0.0","1.7"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with 1 to 4 employees","2018","2,544,156","1,135,897,807","5,067,204","205,630,263","0.2","0.6","0.3","1.1"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with 5 to 9 employees","2018","855,586","972,177,428","5,644,630","226,852,241","0.5","1.2","0.5","1.1"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with 10 to 19 employees","2018","543,427","1,255,683,887","7,308,878","299,348,933","1.0","2.2","0.9","0.9"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with 20 to 49 employees","2018","347,769","2,103,385,409","10,466,092","451,082,560","1.3","5.4","1.4","1.5"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with 50 to 99 employees","2018","99,826","1,764,806,521","6,814,793","316,117,315","3.3","7.7","3.2","3.7"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with 100 to 249 employees","2018","50,270","2,218,663,649","7,428,477","371,787,798","4.5","8.8","4.5","5.6"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with 250 to 499 employees","2018","12,566","1,236,288,212","4,415,027","212,832,553","6.5","9.1","6.2","8.7"
"United States","00","Total for all sectors","Total","Non-Hispanic","Total","Total","Firms with 500 employees or more","2018","8,042","2,859,505,955","12,861,905","561,018,451","3.8","3.0","2.3","4.9"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with no employees","2018","142,685","47,188,068","0","8,548,371","1.5","6.7","0.0","4.6"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with 1 to 4 employees","2018","545,293","190,765,366","1,051,190","37,380,517","1.1","2.5","1.0","2.8"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with 5 to 9 employees","2018","177,337","161,863,468","1,172,114","40,470,805","1.1","3.5","1.1","2.3"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with 10 to 19 employees","2018","104,412","175,984,012","1,399,242","47,999,373","2.7","4.0","2.8","3.6"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with 20 to 49 employees","2018","59,858","269,916,185","1,767,811","64,500,953","2.7","14.6","2.5","4.8"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with 50 to 99 employees","2018","15,591","201,904,406","1,058,649","41,518,314","6.1","10.7","6.3","7.2"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with 100 to 249 employees","2018","6,879","218,080,816","1,014,484","46,025,952","6.1","15.3","7.7","9.8"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with 250 to 499 employees","2018","1,586","146,211,092","551,158","23,715,860","23.4","33.8","21.0","17.0"
"United States","00","Total for all sectors","Female","Non-Hispanic","Total","Total","Firms with 500 employees or more","2018","1,050","272,164,969","1,393,222","55,502,182","8.2","3.8","4.3","7.3"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with no employees","2018","411,640","197,065,193","0","30,700,002","1.1","3.9","0.0","2.6"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with 1 to 4 employees","2018","1,616,456","780,287,064","3,224,541","140,777,317","0.3","0.7","0.5","1.1"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with 5 to 9 employees","2018","538,384","667,896,316","3,548,464","155,091,549","1.1","1.1","1.0","1.3"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with 10 to 19 employees","2018","350,568","906,728,321","4,716,937","211,891,612","0.9","2.6","0.9","1.4"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with 20 to 49 employees","2018","233,565","1,576,043,809","7,088,582","331,385,508","1.7","4.5","1.9","1.9"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with 50 to 99 employees","2018","72,067","1,404,773,333","4,923,693","244,610,904","3.5","9.4","3.3","4.2"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with 100 to 249 employees","2018","38,450","1,845,777,700","5,665,325","295,907,174","5.1","9.5","5.1","6.4"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with 250 to 499 employees","2018","9,829","1,027,777,276","3,435,596","175,063,086","7.5","10.1","7.6","10.1"
"United States","00","Total for all sectors","Male","Non-Hispanic","Total","Total","Firms with 500 employees or more","2018","6,341","2,477,551,440","10,638,531","477,181,265","3.4","3.3","2.5","5.3"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with no employees","2018","102,244","39,837,880","0","6,022,521","2.3","3.1","0.0","3.2"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with 1 to 4 employees","2018","382,404","164,845,377","791,473","27,472,430","0.9","2.1","1.0","1.8"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with 5 to 9 employees","2018","139,863","142,417,643","924,052","31,289,888","2.1","3.4","2.2","3.1"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with 10 to 19 employees","2018","88,447","172,971,554","1,192,700","39,457,948","3.6","7.4","3.6","3.6"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with 20 to 49 employees","2018","54,344","257,425,415","1,609,699","55,196,099","3.4","8.9","3.7","5.2"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with 50 to 99 employees","2018","12,169","158,128,782","832,451","29,988,097","6.8","22.5","7.3","14.3"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with 100 to 249 employees","2018","4,943","154,805,134","748,668","29,854,672","11.2","20.1","10.7","12.0"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with 250 to 499 employees","2018","1,153","62,299,844","428,272","14,053,607","20.1","27.8","19.8","22.2"
"United States","00","Total for all sectors","Equally male/female","Non-Hispanic","Total","Total","Firms with 500 employees or more","2018","650","109,789,547","830,152","28,335,004","13.7","9.6","7.6","12.3"
"United States","00","Total for all sectors","Total","Total","White","Total","Firms with no employees","2018","620,611","262,895,752","0","42,118,464","0.8","2.7","0.0","2.0"
"United States","00","Total for all sectors","Total","Total","White","Total","Firms with 1 to 4 employees","2018","2,375,040","1,036,300,542","4,694,516","193,123,249","0.2","0.5","0.4","1.1"
"United States","00","Total for all sectors","Total","Total","White","Total","Firms with 5 to 9 employees","2018","781,984","889,738,319","5,162,831","212,922,816","0.6","1.5","0.7","1.3"
"United States","00","Total for all sectors","Total","Total","White","Total","Firms with 10 to 19 employees","2018","500,788","1,187,451,164","6,730,460","282,928,489","0.9","2.6","0.8","1.2"
"United States","00","Total for all sectors","Total","Total","White","Total","Firms with 20 to 49 employees","2018","326,742","2,019,427,728","9,856,333","429,996,044","1.8","5.9","1.8","1.8"
"United States","00","Total for all sectors","Total","Total","White","Total","Firms with 50 to 99 employees","2018","95,375","1,718,298,023","6,509,650","304,554,206","3.2","7.9","3.1","3.7"
"United States","00","Total for all sectors","Total","Total","White","Total","Firms with 100 to 249 employees","2018","49,364","2,171,307,790","7,284,793","360,900,676","5.2","8.2","5.2","6.1"
"United States","00","Total for all sectors","Total","Total","White","Total","Firms with 250 to 499 employees","2018","12,213","1,219,306,366","4,291,070","208,112,676","7.1","9.0","6.8","8.5"
"United States","00","Total for all sectors","Total","Total","White","Total","Firms with 500 employees or more","2018","7,761","2,798,436,864","12,347,779","545,447,500","4.2","2.8","2.3","4.9"
"United States","00","Total for all sectors","Female","Total","White","Total","Firms with no employees","2018","129,913","42,885,254","0","7,605,118","1.4","5.3","0.0","4.6"
"United States","00","Total for all sectors","Female","Total","White","Total","Firms with 1 to 4 employees","2018","489,895","166,112,568","934,547","33,338,150","1.2","2.8","1.1","2.5"
"United States","00","Total for all sectors","Female","Total","White","Total","Firms with 5 to 9 employees","2018","154,959","140,936,177","1,025,973","36,261,021","1.6","4.3","1.6","2.9"
"United States","00","Total for all sectors","Female","Total","White","Total","Firms with 10 to 19 employees","2018","92,971","164,385,821","1,249,009","44,091,981","2.4","4.9","2.5","3.0"
